2025-07-06 11:23:26.420930, QNT/USDT (2h) - RSI: 44.17 ⚪
2025-07-06 11:23:26.420983, HYPE/USDT (2h) - RSI: 45.38 ⚪
2025-07-06 11:23:26.420992, BID/USDT (2h) - RSI: 71.68 🔴
2025-07-06 11:23:26.421000, SPX/USDT (2h) - RSI: 42.28 ⚪
2025-07-06 11:23:26.421007, MKR/USDT (2h) - RSI: 43.38 ⚪
2025-07-06 11:23:26.421014, AAVE/USDT (2h) - RSI: 38.62 ⚪
2025-07-06 11:23:26.421021, BNT/USDT (2h) - RSI: 57.93 ⚪
2025-07-06 11:23:26.421027, JST/USDT (2h) - RSI: 56.16 ⚪
2025-07-06 11:23:26.421033, CAKE/USDT (2h) - RSI: 45.95 ⚪
2025-07-06 11:23:26.421040, KAVA/USDT (2h) - RSI: 61.81 ⚪
2025-07-06 11:23:26.421046, CHEEMS/USDT (2h) - RSI: 48.99 ⚪
2025-07-06 11:23:26.421053, NEIROETH/USDT (2h) - RSI: 48.40 ⚪
2025-07-06 11:23:26.421060, SUN/USDT (2h) - RSI: 48.38 ⚪
2025-07-06 11:23:26.421066, PENDLE/USDT (2h) - RSI: 41.18 ⚪
2025-07-06 11:23:26.421073, AVA/USDT (2h) - RSI: 45.25 ⚪
2025-07-06 11:23:26.421079, SEI/USDT (2h) - RSI: 44.31 ⚪
2025-07-06 11:23:26.421085, JELLYJELLY/USDT (2h) - RSI: 40.86 ⚪
2025-07-06 11:27:05.108015, QNT/USDT (2h) - RSI: 46.35 ⚪
2025-07-06 11:27:05.108070, HYPE/USDT (2h) - RSI: 46.46 ⚪
2025-07-06 11:27:05.108082, BID/USDT (2h) - RSI: 72.05 🔴
2025-07-06 11:27:05.108091, SPX/USDT (2h) - RSI: 42.13 ⚪
2025-07-06 11:27:05.108098, MKR/USDT (2h) - RSI: 44.10 ⚪
2025-07-06 11:27:05.108106, AAVE/USDT (2h) - RSI: 39.33 ⚪
2025-07-06 11:27:05.108113, BNT/USDT (2h) - RSI: 57.30 ⚪
2025-07-06 11:27:05.108120, JST/USDT (2h) - RSI: 56.16 ⚪
2025-07-06 11:27:05.108129, CAKE/USDT (2h) - RSI: 45.95 ⚪
2025-07-06 11:27:05.108137, KAVA/USDT (2h) - RSI: 60.71 ⚪
2025-07-06 11:27:05.108144, CHEEMS/USDT (2h) - RSI: 47.98 ⚪
2025-07-06 11:27:05.108239, NEIROETH/USDT (2h) - RSI: 48.40 ⚪
2025-07-06 11:27:05.108252, SUN/USDT (2h) - RSI: 46.59 ⚪
2025-07-06 11:27:05.108260, PENDLE/USDT (2h) - RSI: 41.56 ⚪
2025-07-06 11:27:05.108267, AVA/USDT (2h) - RSI: 47.22 ⚪
2025-07-06 11:27:05.108274, SEI/USDT (2h) - RSI: 43.45 ⚪
2025-07-06 11:27:05.108282, JELLYJELLY/USDT (2h) - RSI: 41.34 ⚪
2025-07-06 11:58:36.734528, QNT/USDT (2h) - RSI: 53.47 ⚪
2025-07-06 11:58:36.734573, HYPE/USDT (2h) - RSI: 51.18 ⚪
2025-07-06 11:58:36.734581, BID/USDT (2h) - RSI: 71.90 🔴
2025-07-06 11:58:36.734586, SPX/USDT (2h) - RSI: 50.86 ⚪
2025-07-06 11:58:36.734590, MKR/USDT (2h) - RSI: 44.85 ⚪
2025-07-06 11:58:36.734594, AAVE/USDT (2h) - RSI: 37.88 ⚪
2025-07-06 11:58:36.734598, BNT/USDT (2h) - RSI: 55.08 ⚪
2025-07-06 11:58:36.734602, JST/USDT (2h) - RSI: 56.76 ⚪
2025-07-06 11:58:36.734607, CAKE/USDT (2h) - RSI: 48.68 ⚪
2025-07-06 11:58:36.734616, KAVA/USDT (2h) - RSI: 60.43 ⚪
2025-07-06 11:58:36.734625, CHEEMS/USDT (2h) - RSI: 48.05 ⚪
2025-07-06 11:58:36.734630, NEIROETH/USDT (2h) - RSI: 51.90 ⚪
2025-07-06 11:58:36.734634, SUN/USDT (2h) - RSI: 50.28 ⚪
2025-07-06 11:58:36.734638, PENDLE/USDT (2h) - RSI: 45.45 ⚪
2025-07-06 11:58:36.734642, AVA/USDT (2h) - RSI: 49.11 ⚪
2025-07-06 11:58:36.734646, SEI/USDT (2h) - RSI: 47.75 ⚪
2025-07-06 11:58:36.734650, JELLYJELLY/USDT (2h) - RSI: 45.79 ⚪
2025-07-06 12:02:23.901656, QNT/USDT (06.07 11:00 | 2h) - RSI: 51.69 ⚪
2025-07-06 12:02:23.901704, HYPE/USDT (06.07 11:00 | 2h) - RSI: 40.00 ⚪
2025-07-06 12:02:23.901714, BID/USDT (06.07 11:00 | 2h) - RSI: 69.07 ⚪
